gene_id	status
LOC5507490	unmethylated
LOC5507507	unmethylated
LOC5507503	unmethylated
LOC5507500	unmethylated
LOC5507518	unmethylated
LOC116614779	unmethylated
LOC116614785	unmethylated
LOC5507528	unmethylated
LOC5501433	unmethylated
LOC5501435	unmethylated
LOC5505231	unmethylated
LOC5505243	unmethylated
LOC5505241	unmethylated
LOC5505240	unmethylated
LOC5505253	unmethylated
LOC5505252	unmethylated
LOC5505248	unmethylated
LOC5505233	unmethylated
LOC5505245	unmethylated
LOC116613059	unmethylated
LOC5505250	unmethylated
LOC116613061	unmethylated
LOC5517486	unmethylated
LOC5517411	unmethylated
LOC125556818	unmethylated
LOC125563050	unmethylated
LOC116606653	unmethylated
LOC116621578	unmethylated
LOC116621579	unmethylated
LOC5517409	unmethylated
LOC5517482	unmethylated
LOC5517408	unmethylated
LOC5517478	unmethylated
LOC5517476	unmethylated
LOC5517407	unmethylated
LOC5517475	unmethylated
LOC5517473	unmethylated
LOC5517470	unmethylated
LOC116601170	unmethylated
LOC125556784	unmethylated
LOC5517401	unmethylated
LOC116601166	unmethylated
LOC5517463	unmethylated
LOC5498920	unmethylated
LOC5517459	unmethylated
LOC5517397	unmethylated
LOC116601180	unmethylated
LOC5517456	unmethylated
LOC5517454	unmethylated
LOC5517393	unmethylated
LOC5517391	unmethylated
LOC116621570	unmethylated
LOC5517450	unmethylated
LOC116601153	unmethylated
LOC5517388	unmethylated
LOC5517446	unmethylated
LOC5517444	unmethylated
LOC5517385	unmethylated
LOC5517439	unmethylated
LOC116601186	unmethylated
LOC116601179	unmethylated
LOC5517437	unmethylated
LOC5517438	unmethylated
LOC116601178	unmethylated
LOC5517430	unmethylated
LOC5517429	unmethylated
LOC5517384	unmethylated
LOC5517427	unmethylated
LOC5517383	unmethylated
LOC116621574	unmethylated
LOC5517425	unmethylated
LOC5517380	unmethylated
LOC5517377	unmethylated
LOC5517416	unmethylated
LOC116601190	unmethylated
LOC5517413	unmethylated
LOC5517412	unmethylated
LOC125562286	unmethylated
LOC5517340	unmethylated
LOC5517341	unmethylated
LOC5517338	unmethylated
LOC5517357	unmethylated
LOC5517347	unmethylated
LOC116601175	unmethylated
LOC5517346	unmethylated
LOC116601181	unmethylated
LOC5517355	unmethylated
LOC116621569	unmethylated
LOC125568107	unmethylated
LOC125564769	unmethylated
LOC5497826	unmethylated
LOC125564785	unmethylated
LOC125568065	unmethylated
LOC5517365	unmethylated
LOC125566761	unmethylated
LOC5517366	unmethylated
LOC125566972	unmethylated
LOC125567991	unmethylated
LOC125567852	unmethylated
LOC125567340	unmethylated
LOC125561385	unmethylated
LOC116601155	unmethylated
LOC5517363	unmethylated
LOC125561817	unmethylated
LOC116601185	unmethylated
LOC5517368	unmethylated
LOC116601156	unmethylated
LOC116601160	unmethylated
LOC5517351	unmethylated
LOC5517358	unmethylated
LOC5517349	unmethylated
LOC125556802	unmethylated
LOC5515950	unmethylated
LOC5515895	unmethylated
LOC5515948	unmethylated
LOC5515947	unmethylated
LOC116620108	unmethylated
LOC5515946	unmethylated
LOC5515945	unmethylated
LOC5515944	unmethylated
LOC116620094	unmethylated
LOC5515942	unmethylated
LOC5515885	unmethylated
LOC116620091	unmethylated
LOC116620088	unmethylated
LOC5515939	unmethylated
LOC116620090	unmethylated
LOC5515883	unmethylated
LOC5515938	unmethylated
LOC5515937	unmethylated
LOC5515936	unmethylated
LOC116620114	unmethylated
LOC5515935	unmethylated
LOC5515934	unmethylated
LOC5515881	unmethylated
LOC5515879	unmethylated
LOC5515932	unmethylated
LOC116620124	unmethylated
LOC125568075	unmethylated
LOC5515877	unmethylated
LOC5515873	unmethylated
LOC5515929	unmethylated
LOC5515928	unmethylated
LOC5515870	unmethylated
LOC5515927	unmethylated
LOC116620127	unmethylated
LOC5515924	unmethylated
LOC5515921	unmethylated
LOC5515919	unmethylated
LOC5515917	unmethylated
LOC116608640	unmethylated
LOC5515915	unmethylated
LOC5515867	unmethylated
LOC5515914	unmethylated
LOC5515866	unmethylated
LOC116620119	unmethylated
LOC5515909	unmethylated
LOC5515862	unmethylated
LOC5515907	unmethylated
LOC116620137	unmethylated
LOC5515906	unmethylated
LOC5515903	unmethylated
LOC116620140	unmethylated
LOC125558942	unmethylated
LOC125558955	unmethylated
LOC5515856	unmethylated
LOC5515852	unmethylated
LOC116612845	unmethylated
LOC125570151	unmethylated
LOC116614761	unmethylated
LOC5505059	unmethylated
LOC116612857	unmethylated
LOC125561742	unmethylated
LOC125561743	unmethylated
LOC125560696	unmethylated
LOC125560975	unmethylated
LOC125561012	unmethylated
LOC125562969	unmethylated
LOC125562978	unmethylated
LOC116606960	unmethylated
LOC125568380	unmethylated
LOC125562989	unmethylated
LOC125568097	unmethylated
LOC125568096	unmethylated
LOC5504518	unmethylated
LOC125562996	unmethylated
LOC5502426	unmethylated
LOC5502424	unmethylated
LOC125556680	unmethylated
LOC5506321	unmethylated
LOC5506322	unmethylated
LOC5506329	unmethylated
LOC5506315	unmethylated
LOC116614093	unmethylated
LOC5506325	unmethylated
LOC125563007	unmethylated
LOC5521001	unmethylated
LOC5521002	unmethylated
LOC5521086	unmethylated
LOC5521005	unmethylated
LOC125568394	unmethylated
LOC5521011	unmethylated
LOC116604124	unmethylated
LOC5521015	unmethylated
LOC5521017	unmethylated
LOC5521019	unmethylated
LOC5521020	unmethylated
LOC116604129	unmethylated
LOC5521092	unmethylated
LOC5521021	unmethylated
LOC5501658	unmethylated
LOC5501657	unmethylated
LOC5501653	unmethylated
LOC5501647	unmethylated
LOC5511137	unmethylated
LOC5511164	unmethylated
LOC125563018	unmethylated
LOC5511133	unmethylated
LOC5511131	unmethylated
LOC116617568	unmethylated
LOC5511130	unmethylated
LOC116617581	unmethylated
LOC5511118	unmethylated
LOC5511143	unmethylated
LOC125568329	unmethylated
LOC5511116	unmethylated
LOC116617578	unmethylated
LOC5511142	unmethylated
LOC5511139	unmethylated
LOC5511140	unmethylated
LOC116605000	unmethylated
LOC5511109	unmethylated
LOC5511100	unmethylated
LOC116617585	unmethylated
LOC5501080	unmethylated
LOC116612361	unmethylated
LOC125563021	unmethylated
LOC125563023	unmethylated
LOC5501081	unmethylated
LOC5504696	unmethylated
LOC5504691	unmethylated
LOC5504690	unmethylated
LOC5504698	unmethylated
LOC5504707	unmethylated
LOC116610249	unmethylated
LOC116610252	unmethylated
LOC5502737	unmethylated
LOC125570596	unmethylated
LOC5502742	unmethylated
LOC5502741	unmethylated
LOC5502744	unmethylated
LOC5502740	unmethylated
LOC5502746	unmethylated
LOC116620784	unmethylated
LOC116614827	unmethylated
LOC5507576	unmethylated
LOC5507590	unmethylated
LOC116614814	unmethylated
LOC5507586	unmethylated
LOC5507573	unmethylated
LOC116614823	unmethylated
LOC116614826	unmethylated
LOC5507605	unmethylated
LOC5507594	unmethylated
LOC5507595	unmethylated
LOC5507606	unmethylated
LOC125565371	unmethylated
LOC116614834	unmethylated
